"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"280","RPW",82,0.1,0.4,0.4,0.3,-0.00256437354268528,-0.00414658236006177,8
"281","RPW",82,0.1,0.4,0.4,0.4,-0.00383501012911362,-0.00520633904166462,8
"282","RPW",82,0.1,0.4,0.4,0.5,-0.00373932928331981,-0.00828154932028696,8
"283","RPW",82,0.1,0.4,0.5,0,-0.00256175568634709,-0.00450961127247435,8
"284","RPW",82,0.1,0.4,0.5,0.1,-0.00231855406614391,-0.00420443637851836,8
"285","RPW",82,0.1,0.4,0.5,0.2,-0.00198653049952666,-0.00408561135020735,8
"286","RPW",82,0.1,0.4,0.5,0.3,-0.00178980378017758,-0.0058244237501705,8
"287","RPW",82,0.1,0.4,0.5,0.4,-0.00327624797942287,-0.00493336711269865,8
"288","RPW",82,0.1,0.4,0.5,0.5,-0.00402941781792843,-0.00734677631474789,8
"289","RPW",254,0.4,0.6,0,0,-0.0017762032733149,-0.000844807857118934,12
"290","RPW",254,0.4,0.6,0,0.1,-0.00291888545724067,-0.0016854531311048,12
"291","RPW",254,0.4,0.6,0,0.2,-0.00178042649268945,-0.00218672131554476,12
"292","RPW",254,0.4,0.6,0,0.3,-0.0027067318161072,-0.0011336794727258,12
"293","RPW",254,0.4,0.6,0,0.4,-0.00296374107530484,-0.002798848815599,12
"294","RPW",254,0.4,0.6,0,0.5,-0.0026637545175015,-0.00142032352491073,12
"295","RPW",254,0.4,0.6,0.1,0,-0.00281526785196706,-0.00170927757755179,12
"296","RPW",254,0.4,0.6,0.1,0.1,-0.00264916976883584,-0.00202707675129898,12
